after,distnoab,timetorecid,traffcoc,ban,age,black,male,totalyearssentenced,prioroffensenumber,countoffenses,anyrecid,finrecidany,nonfinrecidany
1,5250,,0,1,34,0,1,2,1,1,0,0,0
1,990,,0,1,21,0,1,1.8876712,0,1,0,0,0
1,2831,,0,1,40,0,0,3,0,2,0,0,0
1,1925,,0,1,31,0,1,3,0,2,0,0,0
1,469,,1,1,26,1,1,5,3,1,0,0,0
1,3899,,0,1,60,0,1,2,0,1,0,0,0
1,263,,0,1,31,0,1,9,0,1,0,0,0
1,3491,145,0,1,26,0,1,3.3287671,1,4,1,1,0
1,199,,1,1,23,1,1,3,0,2,0,0,0
1,4772,,0,1,48,1,1,1.4931507,0,1,0,0,0
1,4547,,0,1,49,0,1,1.0027397,0,2,0,0,0
1,4624,,0,1,22,0,1,3,0,1,0,0,0
1,216,,1,1,30,0,1,2.3780823,0,1,0,0,0
1,4429,,0,1,28,0,0,4,0,2,0,0,0
1,6404,,0,1,37,0,1,1.2465754,0,1,0,0,0
1,2674,,0,1,59,1,1,8,1,4,0,0,0
1,2693,,0,1,22,1,1,3.4000001,0,2,0,0,0
1,2628,,1,1,24,0,1,3,0,1,0,0,0
1,2231,1504,1,1,26,0,1,4.2465754,0,1,1,1,0
1,4738,,0,1,34,0,1,5.7397261,1,2,0,0,0
1,5613,,0,1,30,0,1,4.0931506,0,6,0,0,0
1,4424,,1,1,41,0,1,3,0,1,0,0,0
1,4495,,0,1,52,0,1,3,0,1,0,0,0
1,4575,,0,1,22,0,0,3,0,1,0,0,0
1,3590,,0,1,57,0,1,3,0,2,0,0,0
1,2692,,0,1,34,1,1,10,1,3,0,0,0
1,5150,,0,1,44,0,1,3,0,2,0,0,0
1,736,,1,1,19,0,1,4,0,1,0,0,0
1,1082,,1,1,22,0,1,3,0,2,0,0,0
1,4382,,1,1,22,0,1,3,0,2,0,0,0
1,4535,,1,1,25,0,1,7,0,1,0,0,0
1,1661,,0,1,20,0,1,3,0,1,0,0,0
1,2393,,0,1,42,0,1,3,1,3,0,0,0
1,4487,,0,1,26,1,1,12,0,2,0,0,0
1,2787,,0,1,35,1,1,6.4931507,0,2,0,0,0
1,3617,,0,1,20,0,1,20,0,3,0,0,0
1,4486,,0,1,22,0,1,4.7397261,0,2,0,0,0
1,2797,,1,1,27,0,1,3,0,1,0,0,0
1,2882,,1,1,31,1,1,5,0,2,0,0,0
1,473,,0,1,22,0,1,2.4931507,0,2,0,0,0
1,5254,,0,1,34,0,1,3.9424658,0,2,0,0,0
1,4604,,0,1,21,0,1,5,0,1,0,0,0
1,5369,,0,1,77,1,0,3,1,1,0,0,0
1,4879,,0,1,66,1,1,1.4931507,0,2,0,0,0
1,2675,,1,1,27,1,1,5,0,1,0,0,0
1,4484,1116,0,1,49,0,1,4,0,3,1,1,0
1,1042,,0,1,26,0,1,4,0,4,0,0,0
1,3199,,1,1,26,1,1,2,0,2,0,0,0
1,2420,,0,1,26,0,0,3,0,1,0,0,0
1,4417,,0,1,39,0,0,3,0,2,0,0,0
1,3990,,0,1,25,1,1,4,0,1,0,0,0
1,2840,,0,1,52,0,1,3,0,1,0,0,0
1,5315,,0,1,50,0,1,3,0,2,0,0,0
1,1015,,0,1,29,0,1,10,0,4,0,0,0
1,3805,,0,1,23,0,1,7,0,3,0,0,0
1,4273,,0,1,28,0,0,3.0383561,0,2,0,0,0
1,5037,65,0,1,35,1,1,3,0,1,1,1,0
1,2601,,0,1,56,0,0,3,0,4,0,0,0
1,3331,,1,1,22,0,1,1.4931507,0,1,0,0,0
1,3554,,1,1,26,1,1,5.419178,1,1,0,0,0
1,4444,,0,1,48,0,1,7,0,1,0,0,0
1,1505,,1,1,33,0,1,9,1,2,0,0,0
1,4547,,0,1,24,0,1,1.4931507,0,1,0,0,0
1,2918,,1,1,26,1,1,3,0,1,0,0,0
1,5487,,0,1,33,1,1,1.4931507,0,2,0,0,0
1,4674,,0,1,42,0,1,5,0,4,0,0,0
1,1831,,1,1,28,1,1,3,1,1,0,0,0
1,805,,1,1,34,1,1,10,0,1,0,0,0
1,1290,,0,1,31,1,1,5,0,2,0,0,0
1,4764,,0,1,42,1,1,3,1,1,0,0,0
1,3869,,0,1,44,0,1,1.4931507,0,1,0,0,0
1,3660,,1,1,39,0,1,9,0,1,0,0,0
1,496,,0,1,25,0,1,4,0,1,0,0,0
1,4816,,1,1,23,1,1,4.0821919,0,3,0,0,0
1,4213,1261,0,1,19,0,1,1.0027397,0,2,1,0,1
1,4269,,1,1,23,1,0,5,0,1,0,0,0
1,2271,,1,1,23,1,1,3,0,2,0,0,0
1,5473,,0,1,21,0,1,2,0,2,0,0,0
1,4822,,0,1,33,0,1,3,0,2,0,0,0
1,441,,1,1,28,1,1,1.7397261,0,1,0,0,0
1,3025,,0,1,37,0,1,7,3,3,0,0,0
1,20,,1,1,49,1,1,12,0,1,0,0,0
1,2084,,1,1,36,1,1,3,0,1,0,0,0
1,3235,,0,1,24,1,1,1.0027397,0,1,0,0,0
1,3989,,0,1,27,0,1,3,0,1,0,0,0
1,4284,,0,1,31,0,1,3,0,1,0,0,0
1,4706,481,0,1,34,0,0,3,0,1,1,1,0
1,3833,,0,1,28,0,1,4,0,3,0,0,0
1,4032,,0,1,27,0,1,7,0,2,0,0,0
1,2944,,0,1,37,0,1,3,0,1,0,0,0
1,2257,,1,1,19,1,1,2,0,1,0,0,0
1,4268,,0,1,35,0,1,3,0,2,0,0,0
1,1875,161,0,1,26,0,1,2,1,1,1,1,0
1,3723,,1,1,36,1,1,4.419178,2,2,0,0,0
1,4442,,0,1,32,0,0,7,0,2,0,0,0
1,5612,,0,1,26,1,1,3.6575344,1,6,0,0,0
1,2150,458,1,1,35,1,1,3,0,1,1,1,0
1,5449,,0,1,32,0,0,4.3205481,0,1,0,0,0
1,4589,,0,1,45,0,1,4,0,1,0,0,0
1,3694,,0,1,49,0,0,3,0,2,0,0,0
1,978,,0,1,45,1,1,2.3287671,2,1,0,0,0
1,5317,,0,1,25,0,1,4.4931507,0,1,0,0,0
0,-187,523,1,1,23,1,1,3,1,1,1,1,0
1,2716,1453,0,1,39,0,1,2.6575344,0,1,1,0,1
1,4891,,1,1,41,0,1,4,0,1,0,0,0
1,2590,,1,1,21,1,1,3,0,1,0,0,0
1,4247,,1,1,37,1,1,2.6575344,1,2,0,0,0
1,2070,186,1,1,29,0,1,3.2465754,0,3,1,0,1
1,4827,,0,1,35,0,1,3,1,4,0,0,0
1,5360,,0,1,23,0,1,3,0,1,0,0,0
1,4298,,0,1,59,0,1,4,0,1,0,0,0
1,3477,389,1,1,30,0,1,15,0,4,1,0,1
1,3541,,1,1,22,0,1,3,0,1,0,0,0
1,2981,397,0,1,25,0,1,7,0,2,1,0,1
1,5941,,0,1,34,0,1,3,1,1,0,0,0
1,1767,,0,1,43,0,1,10,0,1,0,0,0
1,4129,,0,1,35,0,1,1.4931507,0,1,0,0,0
1,1733,,1,1,19,1,1,4.4931507,0,2,0,0,0
1,3324,,0,1,38,0,0,7,0,2,0,0,0
1,3848,606,1,1,19,1,1,4.4931507,0,2,1,1,0
1,2505,,1,1,48,0,1,7,0,1,0,0,0
1,3687,,1,1,23,1,1,3,0,2,0,0,0
1,5290,,1,1,29,0,1,4,0,1,0,0,0
1,4157,,1,1,23,1,1,3,1,1,0,0,0
1,3508,,1,1,22,0,1,10,0,1,0,0,0
1,3151,,1,1,44,1,1,7,1,1,0,0,0
1,1995,,0,1,24,0,1,3.3287671,0,3,0,0,0
1,700,4156,1,1,32,1,1,3,1,1,1,1,0
1,4805,,1,1,32,1,1,3,0,1,0,0,0
1,4437,,0,1,29,0,0,2.1479452,0,1,0,0,0
1,2938,,1,1,35,0,1,3,0,4,0,0,0
1,5359,,0,1,23,1,1,4,0,1,0,0,0
1,362,1070,0,1,39,1,1,5,1,1,1,1,0
1,5787,,1,1,27,1,1,4,1,1,0,0,0
1,4540,,1,1,46,0,1,3,0,1,0,0,0
1,1826,1461,0,1,22,1,1,4,0,1,1,0,1
1,1903,2527,1,1,24,1,1,2.1068494,0,1,1,1,0
1,3483,,1,1,42,0,1,1.0821918,0,1,0,0,0
1,4092,,0,1,27,0,0,1.0027397,0,1,0,0,0
1,2497,,0,1,35,0,1,3,1,3,0,0,0
1,2443,1499,1,1,25,1,1,5,0,4,1,1,0
1,5303,,0,1,27,0,1,3,0,4,0,0,0
1,5443,,1,1,31,0,1,3,1,1,0,0,0
1,4304,,0,1,44,0,1,3,0,1,0,0,0
1,5781,,0,1,20,0,0,2,0,1,0,0,0
1,5944,,0,1,50,0,1,3,1,3,0,0,0
1,4947,,0,1,31,0,0,4.0739727,1,1,0,0,0
1,2296,,1,1,27,1,1,15,0,1,0,0,0
1,4908,,0,1,25,0,1,4,1,7,0,0,0
1,4995,,0,1,37,0,0,1.4931507,0,2,0,0,0
1,5949,,0,1,36,0,1,2,0,1,0,0,0
1,3884,,0,1,24,0,1,3,1,2,0,0,0
1,99,,0,1,44,1,1,2,0,1,0,0,0
1,730,,0,1,22,0,0,3.630137,0,3,0,0,0
1,4907,,1,1,24,1,0,2,0,2,0,0,0
1,4759,,0,1,32,0,1,7,2,1,0,0,0
1,2475,,1,1,47,1,1,7,0,1,0,0,0
1,1168,,1,1,44,0,1,3,0,2,0,0,0
1,5727,,0,1,28,1,1,2,0,1,0,0,0
1,5905,,1,1,45,0,1,1.2465754,0,1,0,0,0
1,687,,0,1,36,0,1,1.7397261,0,1,0,0,0
1,524,,0,1,26,0,1,5.4931507,2,1,0,0,0
1,1954,937,0,1,29,0,1,3,1,5,1,1,0
1,4946,,0,1,38,0,1,3,0,2,0,0,0
1,4143,,0,1,31,0,0,2,0,2,0,0,0
1,3533,,0,1,42,1,1,4.452055,1,1,0,0,0
1,662,,1,1,35,0,1,4,0,1,0,0,0
1,3725,,1,1,36,1,1,3,1,2,0,0,0
1,1363,,1,1,24,1,1,5,0,1,0,0,0
1,3685,,1,1,51,1,1,5.9698629,1,2,0,0,0
1,3700,,1,1,33,1,1,5,3,1,0,0,0
1,5051,,1,1,27,1,1,3,0,5,0,0,0
1,973,,1,1,28,0,1,15,0,3,0,0,0
1,2251,,0,1,26,0,1,2,0,1,0,0,0
1,4970,,0,1,28,1,1,4,0,1,0,0,0
1,2821,,1,1,29,1,1,3,0,2,0,0,0
1,2730,,1,1,25,1,1,5,0,1,0,0,0
1,6024,,0,1,28,0,1,2.4931507,0,1,0,0,0
1,488,,1,1,36,1,1,3.5424657,0,2,0,0,0
0,-61,,1,1,42,1,1,7,0,1,0,0,0
1,4023,,1,1,24,0,1,2.1479452,0,1,0,0,0
1,3982,233,1,1,24,1,1,4.1178083,1,4,1,0,1
1,4986,,0,1,49,0,1,5,3,2,0,0,0
1,3671,,1,1,47,0,0,3,0,1,0,0,0
1,4931,,0,1,40,1,1,3,1,1,0,0,0
1,6251,,0,1,22,1,1,2,0,2,0,0,0
1,2478,,1,1,30,0,1,3.4931507,0,1,0,0,0
1,3836,,0,1,27,1,1,7,0,1,0,0,0
1,1766,,1,1,25,0,1,5,0,1,0,0,0
1,1653,,1,1,18,1,0,1.0027397,0,2,0,0,0
1,5787,,0,1,30,1,1,3,1,1,0,0,0
1,5305,,1,1,35,1,1,4,2,2,0,0,0
1,4597,1742,0,1,40,0,0,1.0821918,0,1,1,0,1
